지역,호선명,상/하행,월,등교_07_08,등교_08_09,하교_15_16,하교_16_17,하교_17_18,등교시간_합계,하교시간_합계,전일합계_평균,관측일수
경기 용인 처인 원삼면,일반국도 17호선,상행,9,537.0,686.8,1150.5,1197.6,1300.9,1223.8,3649.0,16145.1,30
경기 용인 처인 원삼면,일반국도 17호선,상행,10,542.5,714.4,1190.7,1277.5,1422.4,1256.9,3890.6,16254.6,31
경기 용인 처인 원삼면,일반국도 17호선,상행,11,541.5,729.5,1274.5,1368.8,1444.6,1270.9,4087.9,16661.3,30
경기 용인 처인 원삼면,일반국도 17호선,상행,12,497.6,675.9,1111.7,1203.0,1258.7,1173.5,3573.4,14129.6,31
경기 용인 처인 원삼면,일반국도 17호선,하행,1,1351.8,1504.3,1290.6,1232.1,1187.1,2856.1,3709.9,20044.6,62
경기 용인 처인 원삼면,일반국도 17호선,하행,2,1345.1,1475.6,1322.9,1283.1,1246.2,2820.7,3852.2,20302.9,58
경기 용인 처인 원삼면,일반국도 17호선,하행,3,1563.3,1613.0,1343.3,1366.7,1384.9,3176.3,4094.9,22387.4,62
경기 용인 처인 원삼면,일반국도 17호선,하행,4,1645.4,1695.5,1420.3,1446.6,1446.3,3340.9,4313.2,24226.0,60
경기 용인 처인 원삼면,일반국도 17호선,하행,5,1584.7,1652.6,1458.3,1499.2,1475.2,3237.4,4432.7,24429.3,62
경기 용인 처인 원삼면,일반국도 17호선,하행,6,1517.1,1583.4,1428.1,1454.9,1428.9,3100.5,4311.8,23832.0,60
경기 용인 처인 원삼면,일반국도 17호선,하행,7,1553.7,1599.8,1337.0,1345.6,1353.1,3153.4,4035.6,22627.8,62
경기 용인 처인 원삼면,일반국도 17호선,하행,8,1508.5,1575.1,1390.7,1407.1,1389.9,3083.6,4187.8,23062.1,62
경기 용인 처인 원삼면,일반국도 17호선,하행,9,1580.7,1686.6,1410.7,1409.4,1344.4,3267.4,4164.4,23927.0,60
경기 용인 처인 원삼면,일반국도 17호선,하행,10,1579.2,1663.6,1437.9,1469.4,1442.2,3242.8,4349.5,24271.2,62
경기 용인 처인 원삼면,일반국도 17호선,하행,11,1632.2,1748.8,1503.2,1524.7,1445.4,3381.0,4473.4,24711.8,60
경기 용인 처인 원삼면,일반국도 17호선,하행,12,1435.5,1531.1,1316.7,1346.8,1280.9,2966.6,3944.5,21057.6,62
경기 용인 처인 이동면,일반국도 45호선,상행,6,1339.9,1504.7,2087.7,2173.3,2024.8,2844.6,6285.8,28891.9,30
경기 용인 처인 이동면,일반국도 45호선,상행,7,1345.7,1416.4,1999.0,2134.5,2041.1,2762.1,6174.6,27386.0,31
경기 용인 처인 이동면,일반국도 45호선,상행,8,1343.7,1439.0,2073.9,2201.5,2053.8,2782.7,6329.2,28322.4,31
경기 용인 처인 이동면,일반국도 45호선,상행,9,1263.9,1452.1,2091.4,2066.6,1887.9,2716.0,6045.8,28755.2,30
경기 용인 처인 이동면,일반국도 45호선,상행,10,1360.3,1514.9,2177.1,2341.8,2087.5,2875.2,6606.5,29619.6,31
경기 용인 처인 이동면,일반국도 45호선,상행,11,1319.3,1414.8,2184.7,2274.6,1962.3,2734.2,6421.6,28488.5,30
경기 용인 처인 이동면,일반국도 45호선,상행,12,1225.5,1351.6,2157.5,2141.8,1845.5,2577.2,6144.8,26165.7,31
경기 용인 처인 이동면,일반국도 45호선,하행,6,3025.3,3035.7,2727.8,2808.4,2627.3,6061.0,8163.5,44717.0,60
경기 용인 처인 이동면,일반국도 45호선,하행,7,3048.7,2886.7,2593.8,2660.0,2545.1,5935.5,7798.9,42526.0,62
경기 용인 처인 이동면,일반국도 45호선,하행,8,3020.8,2942.2,2699.0,2764.6,2604.7,5963.0,8068.3,43834.0,62
경기 용인 처인 이동면,일반국도 45호선,하행,9,2947.9,3034.8,2772.8,2704.6,2512.3,5982.7,7989.7,44861.6,60
경기 용인 처인 이동면,일반국도 45호선,하행,10,3076.5,3129.3,2777.9,2871.1,2690.2,6205.8,8339.2,46111.8,62
경기 용인 처인 이동면,일반국도 45호선,하행,11,2995.8,3093.3,2785.5,2852.7,2583.2,6089.1,8221.5,44330.0,60
경기 용인 처인 이동면,일반국도 45호선,하행,12,2707.3,2766.8,2669.6,2654.9,2391.5,5474.1,7716.0,40055.4,62
